,name,album,artist,release_date,duration_ms,popularity,explicit,available_markets,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,"Heart Of Glass (12"" Version)",Heart Of Glass,Blondie,1979-01-03,350866,1,False,[],0.661,0.00662,0.661,0.629,0.0164,0.0459,-7.797,0.043,114.976,4
1,"I Feel Love - 12"" Version",The Journey: The Very Best Of Donna Summer,Donna Summer,2003-01-01,495173,1,False,[],0.692,0.0904,0.692,0.824,0.753,0.106,-13.09,0.0405,128.128,4
2,The Hills of Katmandu,"Disco Music History, Vol. 8",Various Artists,2012-08-07,917920,0,False,[],0.698,0.0111,0.698,0.473,0.808,0.092,-16.583,0.0423,116.935,4
3,White Lines - Re-Recorded,100 Disco Hits of the '70s & '80s (Re-Recorded Versions),Various Artists,2010-08-02,465048,0,False,[],0.814,0.0103,0.814,0.701,0.00775,0.132,-7.525,0.0376,114.998,4
4,Double Journey,Spaced Out + Mixed In Outer Space,Various Artists,1997,416728,0,False,[],0.658,0.0748,0.658,0.777,0.875,0.124,-8.647,0.0431,131.476,4
5,"More, More, More","More, More, More",Andrea True Connection,2007-01-01,222613,50,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.663,0.517,0.663,0.792,0.000139,0.111,-5.476,0.0311,103.009,4
6,Give It To Me Baby,The Ultimate Collection: Rick James,Rick James,1997-03-25,247133,0,False,[],0.775,0.0529,0.775,0.726,0.000407,0.095,-6.731,0.0495,119.891,4
7,"Spank - 12 "" Version",Hot Plate 2 - Volume 2,Various Artists,2010-10-08,418800,48,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.782,0.00356,0.782,0.601,0.00561,0.0466,-11.234,0.0526,118.077,4
8,Whistle Bump,Love Island,Deodato,1978,272533,43,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.686,0.192,0.686,0.791,0.958,0.0844,-11.709,0.0398,118.169,4
9,Dancer,Outline,Gino Soccio,1979,508120,48,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.896,0.0183,0.896,0.339,0.552,0.0311,-9.576,0.0884,122.106,4
10,Good Times,Risqué,CHIC,1979-07-30,495400,64,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.87,0.149,0.87,0.657,0.0102,0.053,-7.32,0.0522,110.596,4
11,"Yes Sir, I Can Boogie",More Monty,Various Artists,1998-11-04,272000,52,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TW', 'US', 'UY', 'VN', 'ZA']",0.452,0.113,0.452,0.754,0.0,0.151,-8.347,0.0746,122.5,4
12,You Make Me Feel (Mighty Real),The Original Hits,Sylvester,1989-01-01,394693,51,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'VN', 'ZA']",0.627,0.109,0.627,0.724,0.43,0.073,-15.294,0.0327,131.52,4
13,Don't Leave Me This Way,The Best Of Harold Melvin & The Blue Notes: If You Don't Know Me By Now (Featuring Teddy Pendergrass) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1995-02-28,366573,49,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.472,0.403,0.472,0.679,1.02e-06,0.109,-9.961,0.0623,120.197,4
14,The Hustle - Original Mix,The Hustle & The Best of Van McCoy,Van McCoy,1976,250240,2,False,[],0.627,0.232,0.627,0.875,0.475,0.0759,-10.291,0.0741,110.521,4
15,Get Up I Feel Like Being A Sex Machine - Pt. 1,Number 1's,James Brown,2007-01-01,169733,1,False,[],0.844,0.178,0.844,0.649,0.0,0.233,-8.737,0.259,108.263,4
16,Super Freak,The Ultimate Collection: Rick James,Rick James,1997-03-25,204133,1,False,[],0.866,0.0639,0.866,0.74,0.0,0.0405,-7.386,0.0616,132.517,4
17,Law And Order,Salsoul Classics Vol. 3 & 4,Various Artists,2011,525973,0,False,[],0.503,0.0211,0.503,0.89,0.0011,0.541,-8.988,0.146,126.612,4
18,Do You Wanna Funk,A Night To Remember,Tony Okungbowa and Jojo Flores,2012-05-01,263013,0,False,[],0.803,0.0189,0.803,0.627,0.000114,0.397,-6.1,0.0356,130.458,4
19,He's the Greatest Dancer,Atlantic 60th: On The Dance Floor Vol. 2,Various Artists,2007-10-30,375400,56,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.7,0.00115,0.7,0.816,0.00123,0.0901,-9.711,0.044,113.244,4
20,"Everybody Dance - 12"" Mix","Dance, Dance, Dance: The Best of Chic",CHIC,1991,507000,51,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.764,0.0378,0.764,0.816,0.0164,0.0775,-8.017,0.109,128.541,4
21,Jingo,Salsoul Classics Vol. 3 & 4,Various Artists,2011,593040,0,False,[],0.642,0.00402,0.642,0.849,0.627,0.25,-9.829,0.04,121.41,4
22,Doing It To Death,Pass The Peas: The Best Of The J.B.'s,The J.B.'s,2000-01-01,306026,0,False,[],0.728,0.25,0.728,0.693,0.00128,0.0625,-7.097,0.0909,114.004,4
23,Think (About It),James Brown's Original Funky Divas,Various Artists,1998-01-01,202960,0,False,[],0.773,0.223,0.773,0.525,0.0002,0.0536,-10.854,0.252,112.714,4
24,Rough Diamond,Rough Diamond,Madleen Kane,1978,380053,40,False,"['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HN', 'HU', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SK', 'SV', 'TN', 'TR', 'US', 'UY', 'ZA']",0.74,0.0324,0.74,0.662,0.092,0.0603,-14.233,0.0505,128.001,4
25,"Hot Stuff - 12"" Version",Bad Girls [Deluxe Edition (US Version)],Donna Summer,1979,407053,3,False,[],0.808,0.00513,0.808,0.881,0.0127,0.0688,-8.249,0.0338,120.392,4
26,Night Fever - 2009 Remastered Version,The Ultimate Bee Gees,Bee Gees,2009-11-02,212266,4,False,[],0.728,0.0261,0.728,0.791,0.000939,0.0811,-7.324,0.0248,109.123,4
27,Le Freak,C'est Chic,CHIC,1978-08-11,327573,8,False,[],0.867,0.0453,0.867,0.746,0.0,0.123,-7.445,0.0475,118.616,4
28,Get Down Tonight,KC & the Sunshine Band... and More,KC & The Sunshine Band,1994-12-13,317106,52,False,"['CA', 'MX', 'US']",0.669,0.134,0.669,0.754,0.0069,0.46,-12.223,0.0279,112.683,4
29,Let's All Chant,Tellement proches (Original Motion Picture Soundtrack),Various Artists,2009-06-15,184120,0,False,[],0.736,0.00837,0.736,0.606,0.0125,0.0898,-8.098,0.0431,122.097,4
30,Don't Leave Me This Way - Single Version,Motown 1970s Vol. 1,Various Artists,2001-01-01,218773,2,False,[],0.546,0.198,0.546,0.656,1.79e-06,0.0813,-11.521,0.0649,121.045,4
31,Funky Town,Paradas Continuas,Various Artists,2010-02-01,239253,71,True,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.906,0.000547,0.906,0.63,0.616,0.0994,-8.071,0.0575,122.458,4
