,name,album,artist,release_date,duration_ms,popularity,explicit,available_markets,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Blood Money,Bass Chalice,10 Ft. Ganja Plant,2005-11-15,236253,0,False,[],0.789,0.0217,0.789,0.793,0.826,0.112,-6.629,0.107,149.368,4
1,Kunta Kinte Dub,Drum Sound - More Gems From the Channel One Dub Room 1974 -1980,The Revolutionaries,2007-07-17,265333,0,False,[],0.799,0.0476,0.799,0.467,0.816,0.0915,-11.541,0.0708,140.644,4
2,One Step Forward,War Ina Babylon,Max Romeo & The Upsetters,1976-01-01,313506,0,False,[],0.929,0.00438,0.929,0.349,1.2e-06,0.0874,-13.612,0.119,131.691,4
3,Screaming Target,Screaming Target,Big Youth,2009-02-01,219706,0,False,[],0.834,0.188,0.834,0.483,0.00803,0.0828,-8.834,0.428,69.116,4
4,King in My Empire (with Cornel Campbell),With The Artists,Rhythm & Sound,2003-09-01,386240,0,False,[],0.882,0.788,0.882,0.241,0.432,0.106,-16.648,0.0601,126.007,4
5,So Jah Sey Dub,So Jah Sey Dub,The Aggrovators,2011-11-01,260906,36,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.734,0.0312,0.734,0.42,0.0569,0.0778,-11.126,0.101,76.767,4
6,Daphne,Underwater Dub,Sly & Robbie,2014-04-25,238626,0,False,[],0.61,0.047,0.61,0.374,0.873,0.247,-9.394,0.073,80.151,4
7,White Birds (Instrumental Version),Bad Bad Things,Blundetto,2010-06-07,227645,35,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.919,0.0555,0.919,0.422,0.855,0.0777,-9.152,0.106,119.061,4
8,Burru Saturday,Blackwood Dub,Sly & Robbie,2012-02-24,245226,0,True,[],0.796,0.00222,0.796,0.621,0.84,0.107,-14.566,0.0402,131.406,4
9,Enjoyment Dub,At Channel One,Scientist,2013-12-17,156933,0,False,[],0.78,0.0391,0.78,0.524,0.95,0.113,-6.936,0.0469,141.338,4
10,Jah In Dub,Dub Rocker's Delight,Sly & Robbie,2011-07-10,212106,32,False,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0.779,0.0156,0.779,0.274,0.881,0.0522,-16.647,0.076,149.451,4
11,Black Roses,"Original Ragga Muffin, Pt. 1",Barrington Levy,2011-05-05,187611,0,False,[],0.801,0.0549,0.801,0.516,0.0083,0.126,-7.022,0.0815,84.793,4
12,Feast Of The Passover,"Lion Treasury, Legendary Roots Reggae Classic",The Congos,2009-03-02,483813,0,False,[],0.747,0.00313,0.747,0.49,0.562,0.137,-8.605,0.0977,142.905,4
